time,lat,long,z,magn
2011-03-27,41.839106,-87.661882,2,4.5
2011-03-27,41.841497,-87.656463,2,4.5
2011-03-27,41.835380,-87.639045,2,4.5
2011-03-27,41.839126,-87.632760,2,4.5
2011-03-27,41.785052,-87.622071,2,4.5
2011-03-27,41.763467,-87.609303,2,4.5
2011-03-27,41.775266,-87.588588,2,4.5
2011-03-27,41.763246,-87.582523,2,4.5
2011-03-27,41.765294,-87.581772,2,4.5
2011-03-27,41.753752,-87.558910,2,4.5
2011-03-27,41.753767,-87.557828,2,4.5
2011-03-27,41.752865,-87.552492,2,4.5
2011-03-28,41.822770,-87.616078,2,4.5
2011-03-28,41.811250,-87.605759,2,4.5
2011-03-28,41.811250,-87.605819,2,4.5
2011-03-28,41.772527,-87.587155,2,4.5
2011-03-28,41.756135,-87.583277,2,4.5
2011-03-28,41.770020,-87.582416,2,4.5
2011-03-28,41.762025,-87.576353,2,4.5
2011-03-28,41.753948,-87.568558,2,4.5
2011-03-28,41.760205,-87.567471,2,4.5
2011-03-29,41.789171,-87.619897,2,4.5
2011-03-29,41.771022,-87.616473,2,4.5
2011-03-29,41.786573,-87.617260,2,4.5
2011-03-29,41.782219,-87.612766,2,4.5
2011-03-29,41.777487,-87.592855,2,4.5
2011-03-29,41.799625,-87.591495,2,4.5
2011-03-29,41.763545,-87.576679,2,4.5
2011-03-29,41.768817,-87.576233,2,4.5
2011-03-29,41.772874,-87.575403,2,4.5
2011-03-30,41.756454,-87.628699,2,4.5
2011-03-30,41.782219,-87.612850,2,4.5
2011-03-30,41.774962,-87.593554,2,4.5
2011-03-30,41.755604,-87.565241,2,4.5
2011-03-31,41.839672,-87.657347,2,4.5
2011-03-31,41.760391,-87.630157,2,4.5
2011-03-31,41.791173,-87.622780,2,4.5
2011-03-31,41.790815,-87.617349,2,4.5
2011-03-31,41.779768,-87.609698,2,4.5
2011-03-31,41.819064,-87.604930,2,4.5
2011-03-31,41.783317,-87.602897,2,4.5
2011-03-31,41.765551,-87.582580,2,4.5
2011-03-31,41.771099,-87.582738,2,4.5
2011-04-01,41.840164,-87.654763,2,4.5
2011-04-01,41.845447,-87.645951,2,4.5
2011-04-01,41.764492,-87.621524,2,4.5
2011-04-01,41.770443,-87.621966,2,4.5
2011-04-01,41.800990,-87.621154,2,4.5
